"Sample_Num","Rat_ID","Brain_Region","Substance","Sex","SAMPLE_ID","Num_Fentanyl_Sessions_six_hrs","Total_Num_Fentanyl_Sessions","Batch_RNA_extraction","Batch_lib_prep","Batch_seq","RNA_concentration","Total_RNA_amount","RIN_LIBD","Psomagen_RIN","RIN","library_size","detected_num_genes","mitoRate","totalAssignedGene","overallMapRate","concordMapRate"
1,"LgA 01","Habenula","Fentanyl","Male","1_F_LHb_01","16","22","1","1","1",81.5,0.041,7.9,"8.2",8.2,11475770,19915,0.00656569728023413,0.246932550386245,0.843,0.8079
2,"LgA 04","Habenula","Fentanyl","Male","2_F_LHb_04","16","22","1","1","1",2.096,0.025,8.1,"8.0",8,11913167,19712,0.00580008144444918,0.254536385661767,0.8583,0.8266
3,"LgA 09","Habenula","Fentanyl","Male","3_F_LHb_09","16","22","1","1","1",23.5,0.013,7.5,NA,7.5,10933696,19564,0.00559962867774575,0.230537431556902,0.8553,0.8203
4,"LgA 11","Habenula","Fentanyl","Male","4_F_LHb_11","18","24","1","1","1",20.3,0.021,8.4,"7.6",7.6,10889805,19811,0.00494948907584891,0.228501879183584,0.8653,0.8343
5,"LgA 13","Habenula","Fentanyl","Male","5_F_LHb_13","18","24","1","1","1",34.7,0.013,8.4,NA,8.4,11736439,19195,0.00497637147955031,0.236896955697324,0.8936,0.8682
6,"LgA 15","Habenula","Fentanyl","Male","6_F_LHb_15","18","24","1","1","1",17.8,0.027,8.7,"7.7",7.7,11476527,19954,0.00747452187122945,0.244623324555846,0.8533,0.8237
7,"LgA 19","Habenula","Fentanyl","Male","7_F_LHb_19","18","24","1","1","1",28.5,0.023,8.4,"7.3",7.3,11752263,20188,0.00735410042523742,0.250667168842956,0.8531,0.8241
8,"LgA 21","Habenula","Fentanyl","Male","8_F_LHb_21","18","24","1","1","1",46.4,0.039,8.1,"7.4",7.4,11831657,19957,0.00687038916163496,0.248776592185859,0.8608,0.8334
9,"LgA 02","Habenula","Saline","Male","9_S_LHb_02","16","22","1","1","1",50.9,0.031,8.2,"7.5",7.5,10873255,20135,0.00487645539663108,0.233284354708513,0.8448,0.8171
10,"LgA 05","Habenula","Saline","Male","17_S_LHb_05","16","22","3","1","1",251.7,0.266,NA,"8.4",8.4,19918327,19999,0.00855707448200269,0.388291092830829,0.9067,0.8798
11,"LgA 08","Habenula","Saline","Male","11_S_LHb_08","16","22","1","1","1",46.2,0.045,8.7,"7.2",7.2,12790154,20121,0.00751030361551305,0.272381857814847,0.85,0.8206
12,"LgA 10","Habenula","Saline","Male","12_S_LHb_10","16","22","1","1","1",41.9,0.057,8.2,"8.0",8,12859061,20235,0.00689825644541036,0.275884021301947,0.8577,0.826
13,"LgA 12","Habenula","Saline","Male","13_S_LHb_12","18","24","1","1","1",26.6,0.026,7.9,"7.4",7.4,11990353,20222,0.00742504162540926,0.258180084243038,0.8509,0.8221
14,"LgA 20","Habenula","Saline","Male","18_S_LHb_20","18","24","3","1","1",335.8,0.423,NA,"8.6",8.6,19904385,20316,0.00918367008219365,0.407721932793182,0.8572,0.83
15,"LgA 16","Habenula","Saline","Male","15_S_LHb_16","18","24","1","1","1",32.9,0.038,8.3,"7.4",7.4,11283190,20155,0.00786829940768576,0.240909852274124,0.8424,0.8119
16,"LgA 22","Habenula","Saline","Male","19_S_LHb_22","18","24","3","1","1",297.1,0.456,NA,"7.9",7.9,20350151,20282,0.00994295026471186,0.420818221297913,0.8519,0.8255
17,"LgA 01","Amygdala","Fentanyl","Male","1_F_Amyg_01","16","22","2","2","2",1165.6,0.32,7.7,"8.4",8.4,26726484,20501,0.0308168316329512,0.449480673051062,0.9641,0.9575
18,"LgA 04","Amygdala","Fentanyl","Male","2_F_Amyg_04","16","22","2","2","2",727.7,0.429,8.1,"7.5",7.5,25903450,20440,0.0284953645190394,0.439944455493487,0.962,0.9546
19,"LgA 09","Amygdala","Fentanyl","Male","3_F_Amyg_09","16","22","2","2","2",1125.2,0.394,7.5,"8.0",8,24621069,19982,0.0288725426551636,0.430709066261363,0.9688,0.9611
20,"LgA 11","Amygdala","Fentanyl","Male","4_F_Amyg_11","18","24","2","2","2",626.5,0.417,7.7,"8.1",8.1,25052953,19925,0.0264466384173277,0.423360667379755,0.9639,0.956
21,"LgA 13","Amygdala","Fentanyl","Male","5_F_Amyg_13","18","24","2","2","2",520.1,0.46,7.9,"7.7",7.7,26759792,20295,0.0318495513930936,0.470976366236322,0.9679,0.9604
22,"LgA 15","Amygdala","Fentanyl","Male","6_F_Amyg_15","18","24","2","2","2",835.6,0.427,7.6,"7.9",7.9,23744580,20204,0.0254708156362137,0.42527787506675,0.966,0.9573
23,"LgA 19","Amygdala","Fentanyl","Male","7_F_Amyg_19","18","24","2","2","2",250,0.433,NA,"8.1",8.1,24414001,20299,0.0268621548893781,0.417929546571796,0.9702,0.9625
24,"LgA 21","Amygdala","Fentanyl","Male","8_F_Amyg_21","18","24","2","2","2",467.4,0.517,NA,"8.1",8.1,24925343,20611,0.0299961424794553,0.431837296271756,0.9633,0.9561
25,"LgA 02","Amygdala","Saline","Male","9_S_Amyg_02","16","22","2","2","2",897.9,0.348,NA,"8.2",8.2,21975867,20473,0.0315377517687178,0.389899044881722,0.9688,0.961
26,"LgA 06","Amygdala","Saline","Male","10_S_Amyg_06","16","22","2","3","2",882.3,0.495,NA,"8.1",8.1,16758282,20052,0.0210058942628522,0.372202027007713,0.9571,0.9328
27,"LgA 08","Amygdala","Saline","Male","11_S_Amyg_08","16","22","2","2","2",491.5,0.368,NA,"7.8",7.8,19277390,20320,0.0333663020570754,0.372578873382703,0.972,0.964
28,"LgA 10","Amygdala","Saline","Male","12_S_Amyg_10","16","22","2","2","2",554.5,0.363,NA,"7.9",7.9,18412342,20374,0.0253810318625269,0.372235055723434,0.969,0.9602
29,"LgA 22","Amygdala","Saline","Male","34_S_Amyg_22","18","24","3","2","2",522.1,0.558,NA,"8.3",8.3,29142101,20211,0.0473381883675559,0.50335218925576,0.9609,0.9551
30,"LgA 14","Amygdala","Saline","Male","14_S_Amyg_14","18","24","2","3","2",602.6,0.661,NA,"7.8",7.8,18473958,20242,0.0155050114087892,0.395634535397025,0.9673,0.9573
31,"LgA 16","Amygdala","Saline","Male","15_S_Amyg_16","18","24","2","2","2",690.9,0.314,NA,"7.4",7.4,16198456,20226,0.0270103189677108,0.334033929740401,0.9676,0.9588
32,"LgA 18","Amygdala","Saline","Male","16_S_Amyg_18","18","24","2","2","2",384.3,0.389,NA,"7.9",7.9,16648415,20284,0.0284194453043272,0.363184407368961,0.9692,0.9616
33,"LgA 20","Amygdala","Saline","Male","33_S_Amyg_20","18","24","3","3","2",305.6,1.08,NA,"8.3",8.3,19576809,19875,0.0380951835026537,0.428829622578497,0.9773,0.9645
